dataset,sampling_method,k,sample_fraction,repetition,sample_size,mape
Apache,kmeans_random,11,0.1,5,19,0.1839290128297281
Apache,kmeans_default,12,0.1,5,19,0.21873750513365534
Apache,kmeans_hamming,12,0.1,5,19,0.18283555113811928
Apache,kmeans_random,12,0.1,5,19,0.1942555863338718
Apache,kmeans_default,13,0.1,5,19,0.18557696680543798
Apache,kmeans_hamming,13,0.1,5,19,0.19877690435535078
Apache,kmeans_random,13,0.1,5,19,0.15544267603556805
Apache,kmeans_default,14,0.1,5,19,0.21878742047590757
Apache,kmeans_hamming,14,0.1,5,19,0.18096735733206173
Apache,kmeans_random,14,0.1,5,19,0.17848981999579344
Apache,kmeans_default,15,0.1,5,19,0.17937784987114963
Apache,kmeans_hamming,15,0.1,5,19,0.21823665547816673
Apache,kmeans_random,15,0.1,5,19,0.16155998911005834
Apache,kmeans_default,16,0.1,5,19,0.18697498395190182
Apache,kmeans_hamming,16,0.1,5,19,0.20745035702036388
Apache,kmeans_random,16,0.1,5,19,0.1730001086616307
Apache,kmeans_default,17,0.1,5,19,0.2417707533742642
Apache,kmeans_hamming,17,0.1,5,19,0.19784838641182953
Apache,kmeans_random,17,0.1,5,19,0.22755003311522842
Apache,kmeans_default,18,0.1,5,19,0.22685734879692598
Apache,kmeans_hamming,18,0.1,5,19,0.21043798491390034
Apache,kmeans_random,18,0.1,5,19,0.18161978775246646
Apache,kmeans_default,19,0.1,5,19,0.19848503839354553
Apache,kmeans_hamming,19,0.1,5,19,0.25129414507317127
Apache,kmeans_random,19,0.1,5,19,0.1741849453649136
Apache,random,,0.1,6,19,0.17838262526375986
Apache,kmeans_default,5,0.1,6,19,0.18388676924393557
Apache,kmeans_hamming,5,0.1,6,19,0.1868255011337626
Apache,kmeans_random,5,0.1,6,19,0.15354755829607264
Apache,kmeans_default,6,0.1,6,19,0.229042826763126
Apache,kmeans_hamming,6,0.1,6,19,0.1709305470546852
Apache,kmeans_random,6,0.1,6,19,0.18397988988320652
Apache,kmeans_default,7,0.1,6,19,0.18312915139676267
Apache,kmeans_hamming,7,0.1,6,19,0.15733307088666568
Apache,kmeans_random,7,0.1,6,19,0.17058152321347295
Apache,kmeans_default,8,0.1,6,19,0.19326376581705432
Apache,kmeans_hamming,8,0.1,6,19,0.1603647957187949
Apache,kmeans_random,8,0.1,6,19,0.1773565409593819
Apache,kmeans_default,9,0.1,6,19,0.18813153713099243
Apache,kmeans_hamming,9,0.1,6,19,0.19486061140511057
Apache,kmeans_random,9,0.1,6,19,0.20860014438786195
Apache,kmeans_default,10,0.1,6,19,0.18125147413955797
Apache,kmeans_hamming,10,0.1,6,19,0.1673192683556006
Apache,kmeans_random,10,0.1,6,19,0.17315833400649097
Apache,kmeans_default,11,0.1,6,19,0.20118077581886032
Apache,kmeans_hamming,11,0.1,6,19,0.18695586632580613
Apache,kmeans_random,11,0.1,6,19,0.1882698960532795
Apache,kmeans_default,12,0.1,6,19,0.24815840764710392
Apache,kmeans_hamming,12,0.1,6,19,0.16030389231800932
Apache,kmeans_random,12,0.1,6,19,0.17666976761328956
Apache,kmeans_default,13,0.1,6,19,0.1911375931944632
Apache,kmeans_hamming,13,0.1,6,19,0.21041524414230003
Apache,kmeans_random,13,0.1,6,19,0.16758437550098762
Apache,kmeans_default,14,0.1,6,19,0.16337255455940403
Apache,kmeans_hamming,14,0.1,6,19,0.168353942090962
Apache,kmeans_random,14,0.1,6,19,0.18206135772453275
Apache,kmeans_default,15,0.1,6,19,0.17148358905065023
Apache,kmeans_hamming,15,0.1,6,19,0.2140095793071297
Apache,kmeans_random,15,0.1,6,19,0.1565186282885695
Apache,kmeans_default,16,0.1,6,19,0.31828478149828743
Apache,kmeans_hamming,16,0.1,6,19,0.19898409044583287
Apache,kmeans_random,16,0.1,6,19,0.18352845813721727
Apache,kmeans_default,17,0.1,6,19,0.18181596380901419
Apache,kmeans_hamming,17,0.1,6,19,0.1768242001439852
Apache,kmeans_random,17,0.1,6,19,0.2198412406050304
Apache,kmeans_default,18,0.1,6,19,0.2451638074060751
Apache,kmeans_hamming,18,0.1,6,19,0.21933367838246745
