dataset,sampling_method,k,sample_fraction,sample_size,mean_mape,std_mape
Apache,kmeans_hamming,14,0.4,77,0.15480758356873223,0.006143574089849765
Apache,kmeans_hamming,15,0.4,77,0.15415226452840716,0.006071641148266131
Apache,kmeans_hamming,16,0.4,77,0.15552803572662385,0.005422723548720197
Apache,kmeans_hamming,17,0.4,77,0.15529053741980697,0.004562465111069725
Apache,kmeans_hamming,18,0.4,77,0.15790795071284724,0.005654530741234881
Apache,kmeans_hamming,19,0.4,77,0.15526735821474782,0.005983448914591644
Apache,kmeans_hamming,20,0.4,77,0.15795977568931782,0.006283942226730803
Apache,kmeans_random,5,0.4,77,0.16074392183473835,0.010032250999018211
Apache,kmeans_random,6,0.4,77,0.15677669867138913,0.008037877397327926
Apache,kmeans_random,7,0.4,77,0.15703007488642132,0.0075288354582419255
Apache,kmeans_random,8,0.4,77,0.15691883295575612,0.007454952542260528
Apache,kmeans_random,9,0.4,77,0.15691064498938787,0.009571911672602363
Apache,kmeans_random,10,0.4,77,0.15498430530610238,0.0068577810173087676
Apache,kmeans_random,11,0.4,77,0.157339787742764,0.006372829483843788
Apache,kmeans_random,12,0.4,77,0.15757931874314146,0.006607528294462709
Apache,kmeans_random,13,0.4,77,0.1565781906098193,0.007344878160225595
Apache,kmeans_random,14,0.4,77,0.15822284618328805,0.007501835558985182
Apache,kmeans_random,15,0.4,77,0.156069907643153,0.00721441910677708
Apache,kmeans_random,16,0.4,77,0.15600834714944736,0.006760793594063701
Apache,kmeans_random,17,0.4,77,0.1590229216105454,0.007778181560833186
Apache,kmeans_random,18,0.4,77,0.15661372442540403,0.006755582940567989
Apache,kmeans_random,19,0.4,77,0.15436335966420614,0.006917237234970856
Apache,kmeans_random,20,0.4,77,0.1566202191033249,0.006746408503895632
Apache,random,,0.4,77,0.1559803548285986,0.008352650395181111
Apache,diversity,,0.5,96,0.1375130183282609,0.0
Apache,kmeans_default,5,0.5,96,0.16499674363751443,0.023795740798181537
Apache,kmeans_default,6,0.5,96,0.15197010153151264,0.007608736970915726
Apache,kmeans_default,7,0.5,96,0.14966750798098477,0.005763181452823395
Apache,kmeans_default,8,0.5,96,0.15052328859236902,0.006958937521618458
Apache,kmeans_default,9,0.5,96,0.14956395126431146,0.006031698694620952
Apache,kmeans_default,10,0.5,96,0.14827647805572328,0.005480737702927181
Apache,kmeans_default,11,0.5,96,0.14930846030466235,0.008232846421559152
Apache,kmeans_default,12,0.5,96,0.15144780686148027,0.007309067587023289
Apache,kmeans_default,13,0.5,96,0.14921969106384028,0.007000445438229006
Apache,kmeans_default,14,0.5,96,0.15169730389548663,0.0074215364076778935
Apache,kmeans_default,15,0.5,96,0.14876986707512946,0.005319770460031346
Apache,kmeans_default,16,0.5,96,0.14961977447050084,0.0060684060825598
Apache,kmeans_default,17,0.5,96,0.15254726828088216,0.0061546427980134245
Apache,kmeans_default,18,0.5,96,0.1498310044709503,0.005738145331109059
Apache,kmeans_default,19,0.5,96,0.14940476022487276,0.005973914844299844
Apache,kmeans_default,20,0.5,96,0.15172917487207055,0.006623632562503478
Apache,kmeans_hamming,5,0.5,96,0.15350522941063305,0.008769798754916439
Apache,kmeans_hamming,6,0.5,96,0.15129472472197553,0.006436149654381853
Apache,kmeans_hamming,7,0.5,96,0.15536896395936511,0.006256804107195289
Apache,kmeans_hamming,8,0.5,96,0.15392446739025215,0.007217624701514827
Apache,kmeans_hamming,9,0.5,96,0.15448615116275524,0.005145050340222691
Apache,kmeans_hamming,10,0.5,96,0.15392748426224886,0.006054686406709792
Apache,kmeans_hamming,11,0.5,96,0.15282291035251766,0.005641229214329098
Apache,kmeans_hamming,12,0.5,96,0.15444323986089875,0.006564588699287541
Apache,kmeans_hamming,13,0.5,96,0.15754446560021673,0.00688352703651416
Apache,kmeans_hamming,14,0.5,96,0.15684456695545715,0.0067696731093132715
Apache,kmeans_hamming,15,0.5,96,0.15524492361281847,0.006609772549399647
Apache,kmeans_hamming,16,0.5,96,0.1570492698349544,0.006987603546213893
Apache,kmeans_hamming,17,0.5,96,0.15864988389700949,0.004421453352514503
Apache,kmeans_hamming,18,0.5,96,0.1572194226600268,0.005914809348495489
Apache,kmeans_hamming,19,0.5,96,0.15475398394503173,0.006287828099004375
Apache,kmeans_hamming,20,0.5,96,0.15935913344161656,0.006275815604209138
Apache,kmeans_random,5,0.5,96,0.16025818550156787,0.012645955763929425
Apache,kmeans_random,6,0.5,96,0.15698552676916006,0.007153256808803701
Apache,kmeans_random,7,0.5,96,0.15742789599411536,0.0093333516839746
Apache,kmeans_random,8,0.5,96,0.15792114574704422,0.00820632650861852
Apache,kmeans_random,9,0.5,96,0.1547915314808244,0.009027878711948741
Apache,kmeans_random,10,0.5,96,0.1528926083457545,0.007570634709527314
Apache,kmeans_random,11,0.5,96,0.15565826576302985,0.0071979278325165
Apache,kmeans_random,12,0.5,96,0.15787213137662362,0.0060419602374277535
Apache,kmeans_random,13,0.5,96,0.15695818919340493,0.007117554720450526
Apache,kmeans_random,14,0.5,96,0.15848869834614784,0.00836132131319609
Apache,kmeans_random,15,0.5,96,0.15603651110747932,0.0075200782673223365
Apache,kmeans_random,16,0.5,96,0.15567000004627973,0.008706814166936798
Apache,kmeans_random,17,0.5,96,0.15838141582516638,0.009167478392416339
Apache,kmeans_random,18,0.5,96,0.15650846011329309,0.00912754375587872
Apache,kmeans_random,19,0.5,96,0.15512068565075623,0.008902599736845125
Apache,kmeans_random,20,0.5,96,0.15863236183277193,0.007843779216934535
Apache,random,,0.5,96,0.15800557858856493,0.008084053730295315
Apache,diversity,,0.6,115,0.1420863093329334,0.0
Apache,kmeans_default,5,0.6,115,0.1579724033050205,0.02176311927913342
Apache,kmeans_default,6,0.6,115,0.148989271441114,0.009492111930785025
Apache,kmeans_default,7,0.6,115,0.147811425145115,0.008550226297399289
Apache,kmeans_default,8,0.6,115,0.14894386756282504,0.009344107732858231
Apache,kmeans_default,9,0.6,115,0.14825066277135096,0.008838169310157764
Apache,kmeans_default,10,0.6,115,0.1460364830687745,0.006084335492203139
Apache,kmeans_default,11,0.6,115,0.1471269274187145,0.007684295711794463
Apache,kmeans_default,12,0.6,115,0.15039860539840844,0.007265418339392389
Apache,kmeans_default,13,0.6,115,0.14931522354376703,0.008402456574703624
Apache,kmeans_default,14,0.6,115,0.15047453530472416,0.00839462057751655
Apache,kmeans_default,15,0.6,115,0.147937657758857,0.005702479459281666
Apache,kmeans_default,16,0.6,115,0.14842048749482872,0.009327336645785018
Apache,kmeans_default,17,0.6,115,0.15236892865761173,0.00807587686082025
Apache,kmeans_default,18,0.6,115,0.14715149123611454,0.007426571515121257
Apache,kmeans_default,19,0.6,115,0.14682610226488593,0.008102829452495188
