dataset,sampling_method,k,sample_fraction,sample_size,mean_mape,std_mape
Apache,kmeans_default,7,0.2,38,0.18309459179463017,0.029399752784641978
Apache,kmeans_default,8,0.2,38,0.18304170191332056,0.035093693051816206
Apache,kmeans_default,9,0.2,38,0.17688672224681345,0.03505900998861013
Apache,kmeans_default,10,0.2,38,0.17570147049353346,0.021069698065373475
Apache,kmeans_default,11,0.2,38,0.1810401322631039,0.03411334645391938
Apache,kmeans_default,12,0.2,38,0.17287400436485978,0.03260290168189912
Apache,kmeans_default,13,0.2,38,0.1673299003635605,0.020584447048249986
Apache,kmeans_default,14,0.2,38,0.1654715304819516,0.016749582835445972
Apache,kmeans_default,15,0.2,38,0.16746286135725771,0.0206784975986813
Apache,kmeans_default,16,0.2,38,0.168636063638536,0.028240397233424922
Apache,kmeans_default,17,0.2,38,0.16540728775752359,0.014705758543952079
Apache,kmeans_default,18,0.2,38,0.16746539630060076,0.021343688153050128
Apache,kmeans_default,19,0.2,38,0.1656028759695253,0.017606868274776918
Apache,kmeans_default,20,0.2,38,0.1602462349667041,0.01311111985335715
Apache,kmeans_default,21,0.2,38,0.1593758185016492,0.012562341847382348
Apache,kmeans_default,22,0.2,38,0.15828548622661492,0.010220756783656996
Apache,kmeans_default,23,0.2,38,0.161537972444148,0.01753247332752967
Apache,kmeans_default,24,0.2,38,0.1640743571373398,0.0207505766249604
Apache,kmeans_default,25,0.2,38,0.16050193897795617,0.017647910270237276
Apache,kmeans_default,26,0.2,38,0.16217559659297173,0.014402586285722671
Apache,kmeans_default,27,0.2,38,0.15778163320151473,0.011682084970870985
Apache,kmeans_default,28,0.2,38,0.167780086128637,0.027919006559199988
Apache,kmeans_default,29,0.2,38,0.15809675357763445,0.010168560144622125
Apache,kmeans_default,30,0.2,38,0.15894360771518035,0.0108190910340484
Apache,kmeans_default,31,0.2,38,0.15801396483148883,0.010439505994275488
Apache,kmeans_default,32,0.2,38,0.1593179483414455,0.011083223632044769
Apache,kmeans_default,33,0.2,38,0.1560506029520152,0.01124418410140849
Apache,kmeans_default,34,0.2,38,0.15992278715734912,0.010437488765485866
Apache,kmeans_default,35,0.2,38,0.1582031696091183,0.010599634054687864
Apache,kmeans_default,36,0.2,38,0.15810913854912467,0.011673555540212417
Apache,kmeans_default,37,0.2,38,0.15985913092641857,0.012583695588125055
Apache,kmeans_default,38,0.2,38,0.15875586874495073,0.009447336335693128
Apache,kmeans_hamming,5,0.2,38,0.15486345596271478,0.008316987912594897
Apache,kmeans_hamming,6,0.2,38,0.15947940613443748,0.00926983172141817
Apache,kmeans_hamming,7,0.2,38,0.15690088249682263,0.0071775256478926784
Apache,kmeans_hamming,8,0.2,38,0.15893757894147598,0.007018949403219483
Apache,kmeans_hamming,9,0.2,38,0.1604335832542786,0.008056532161797188
Apache,kmeans_hamming,10,0.2,38,0.15819915896460043,0.007229547357916523
Apache,kmeans_hamming,11,0.2,38,0.15888493903556272,0.0074356127635583
Apache,kmeans_hamming,12,0.2,38,0.15868582864280603,0.008418036877894575
Apache,kmeans_hamming,13,0.2,38,0.16502878492038062,0.009628363299908946
Apache,kmeans_hamming,14,0.2,38,0.16054601551002368,0.008629022850579414
Apache,kmeans_hamming,15,0.2,38,0.16126061010148998,0.009684973315699608
Apache,kmeans_hamming,16,0.2,38,0.1638827186210322,0.011963641774045776
Apache,kmeans_hamming,17,0.2,38,0.1620593585897779,0.008815673200232828
Apache,kmeans_hamming,18,0.2,38,0.1632496045818161,0.009658335940531112
Apache,kmeans_hamming,19,0.2,38,0.16561586357252242,0.011661483823781035
Apache,kmeans_hamming,20,0.2,38,0.1648613926977827,0.011426382470305488
Apache,kmeans_hamming,21,0.2,38,0.1657012653797496,0.011451182842919247
