dataset,sampling_method,k,sample_fraction,repetition,sample_size,mape
Apache,kmeans_default,11,0.3,4,58,0.16717857245431691
Apache,kmeans_hamming,11,0.3,4,58,0.15969151023333839
Apache,kmeans_random,11,0.3,4,58,0.1554901268762171
Apache,kmeans_default,12,0.3,4,58,0.1497201817879675
Apache,kmeans_hamming,12,0.3,4,58,0.15971282156163574
Apache,kmeans_random,12,0.3,4,58,0.15516346391359104
Apache,kmeans_default,13,0.3,4,58,0.15302352875840014
Apache,kmeans_hamming,13,0.3,4,58,0.15811193615937874
Apache,kmeans_random,13,0.3,4,58,0.15302156332234443
Apache,kmeans_default,14,0.3,4,58,0.15585654604728624
Apache,kmeans_hamming,14,0.3,4,58,0.1504483506020028
Apache,kmeans_random,14,0.3,4,58,0.16366961546150297
Apache,kmeans_default,15,0.3,4,58,0.1620798105370081
Apache,kmeans_hamming,15,0.3,4,58,0.15144419235990406
Apache,kmeans_random,15,0.3,4,58,0.18259110438944134
Apache,kmeans_default,16,0.3,4,58,0.16491164034807734
Apache,kmeans_hamming,16,0.3,4,58,0.1617732119946584
Apache,kmeans_random,16,0.3,4,58,0.15130002740741025
Apache,kmeans_default,17,0.3,4,58,0.14532838129325681
Apache,kmeans_hamming,17,0.3,4,58,0.1663622518950996
Apache,kmeans_random,17,0.3,4,58,0.16061230084422473
Apache,kmeans_default,18,0.3,4,58,0.14474544977934692
Apache,kmeans_hamming,18,0.3,4,58,0.15549037280719494
Apache,kmeans_random,18,0.3,4,58,0.15073865467792594
Apache,kmeans_default,19,0.3,4,58,0.14180654720643168
Apache,kmeans_hamming,19,0.3,4,58,0.16364969945826047
Apache,kmeans_random,19,0.3,4,58,0.1579303791358943
Apache,kmeans_default,20,0.3,4,58,0.16729589092233169
Apache,kmeans_hamming,20,0.3,4,58,0.1526152771428037
Apache,kmeans_random,20,0.3,4,58,0.16762472946018875
Apache,kmeans_default,21,0.3,4,58,0.17305762239352804
Apache,kmeans_hamming,21,0.3,4,58,0.1742583627678682
Apache,kmeans_random,21,0.3,4,58,0.15569388268469417
Apache,kmeans_default,22,0.3,4,58,0.14617637647523726
Apache,kmeans_hamming,22,0.3,4,58,0.15683835850460714
Apache,kmeans_random,22,0.3,4,58,0.14921564790041958
Apache,kmeans_default,23,0.3,4,58,0.1477452536718536
Apache,kmeans_hamming,23,0.3,4,58,0.1542003350151348
Apache,kmeans_random,23,0.3,4,58,0.16637958382177062
Apache,kmeans_default,24,0.3,4,58,0.1520726724679044
Apache,kmeans_hamming,24,0.3,4,58,0.1659871648705289
Apache,kmeans_random,24,0.3,4,58,0.15612807646756546
Apache,kmeans_default,25,0.3,4,58,0.14568848504979012
